question_id,question,gold_answer,predicted_answer,semantic_similarity,retrieval_time_ms,generation_time_ms,sources,error,question_type,company,doc_name,doc_type
0,What is the FY2018 capital expenditure amount (in USD millions) for 3M? Give a response to the question by relying on the details shown in the cash flow statement.,$1577.00,"$1,577 million",0.6115140132975929,2442.547082901001,584.5999717712402,/Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2018_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2018_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2018_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2018_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2018_10K.pdf,,metrics-generated,3M,3M_2018_10K,10k
1,Assume that you are a public equities analyst. Answer the following question by primarily using information that is shown in the balance sheet: what is the year end FY2018 net PPNE for 3M? Answer in USD billions.,$8.70,The provided context does not contain sufficient information to answer this question.,0.12301100751628352,480.2429676055908,446.1398124694824,/Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2018_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2018_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2018_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2018_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2018_10K.pdf,,metrics-generated,3M,3M_2018_10K,10k
2,Is 3M a capital-intensive business based on FY2022 data?,"No, the company is managing its CAPEX and Fixed Assets pretty efficiently, which is evident from below key metrics:
CAPEX/Revenue Ratio: 5.1%
Fixed assets/Total Assets: 20%
Return on Assets= 12.4%",The provided context does not contain sufficient information to answer this question.,0.11515265087829595,513.7588977813721,404.1478633880615,/Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2022_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2022_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2022_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2022_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2022_10K.pdf,,domain-relevant,3M,3M_2022_10K,10k
3,"What drove operating margin change as of FY2022 for 3M? If operating margin is not a useful metric for a company like this, then please state that and explain why.","Operating Margin for 3M in FY2022 has decreased by 1.7% primarily due to: 
-Decrease in gross Margin
-mostly one-off charges including Combat Arms Earplugs litigation, impairment related to exiting PFAS manufacturing, costs related to exiting Russia and divestiture-related restructuring
charges","The provided context does not contain sufficient information to answer this question directly. However, it does provide information on the changes in operating income margins and diluted earnings per share for 3M in 2022 and 2021.

According to the table, the operating income margin for 2022 was 20.8%, and for 2021 it was 22.3%. The change in operating income margin is attributed to various factors, including total organic growth/productivity and other, raw material impact, divestitures, foreign exchange impacts, and other expense (income), net.

However, the context does not provide a clear explanation of what drove the operating margin change specifically for 3M in FY2022. It only provides a breakdown of the factors that contributed to the change in operating income margin.

It is worth noting that operating margin can be a useful metric for a company like 3M, as it provides insight into the company's ability to generate profits from its sales. However, the context does not provide sufficient information to determine the specific drivers of the operating margin change for 3M in FY2022.",0.6546881342030958,321.7439651489258,1229.55322265625,/Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2022_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2022_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2022_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2022_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2022_10K.pdf,,domain-relevant,3M,3M_2022_10K,10k
4,"If we exclude the impact of M&A, which segment has dragged down 3M's overall growth in 2022?",The consumer segment shrunk by 0.9% organically.,The provided context does not contain sufficient information to answer this question.,0.10491915592985053,613.6300563812256,344.0709114074707,/Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2022_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2022_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2022_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2022_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2022_10K.pdf,,novel-generated,3M,3M_2022_10K,10k
5,"Does 3M have a reasonably healthy liquidity profile based on its quick ratio for Q2 of FY2023? If the quick ratio is not relevant to measure liquidity, please state that and explain why.","No. The quick ratio for 3M was 0.96 by Jun'23 close, which needs a bit of an improvement to touch the 1x mark","The provided context does not contain sufficient information to answer this question.

The context does not provide the information necessary to calculate the quick ratio, which is typically calculated as (Current Assets - Inventory) / Current Liabilities. The context does provide information on working capital, which is defined as current assets minus current liabilities, but it does not provide the specific values for inventory, which is necessary to calculate the quick ratio.",0.42559130042988436,395.9629535675049,871.1388111114502,/Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2023Q2_10Q.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2023Q2_10Q.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2023Q2_10Q.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2023Q2_10Q.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2023Q2_10Q.pdf,,domain-relevant,3M,3M_2023Q2_10Q,10q
6,Which debt securities are registered to trade on a national securities exchange under 3M's name as of Q2 of 2023?,"Following debt securities registered under 3M's name are listed to trade on the New York Stock Exchange:
-1.500% Notes due 2026 (Trading Symbol: MMM26)
-1.750% Notes due 2030 (Trading Symbol: MMM30)
-1.500% Notes due 2031 (Trading Symbol: MMM31)",The provided context does not contain sufficient information to answer this question.,0.005421590359072656,351.4266014099121,411.8499755859375,/Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2023Q2_10Q.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2023Q2_10Q.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2023Q2_10Q.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2023Q2_10Q.pdf,,domain-relevant,3M,3M_2023Q2_10Q,10q
7,Does 3M maintain a stable trend of dividend distribution?,"Yes, not only they distribute the dividends on a routine basis, 3M has also been increasing the per share dividend for consecutive 65 years","Yes, 3M maintains a stable trend of dividend distribution, as evidenced by the 65th consecutive year of dividend increases in 2023.",0.8049746878384196,552.3040294647217,481.2941551208496,/Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2023Q2_10Q.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2018_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2023Q2_10Q.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2022_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/3M_2018_10K.pdf,,novel-generated,3M,3M_2023Q2_10Q,10q
8,What is the FY2019 fixed asset turnover ratio for Activision Blizzard? Fixed asset turnover ratio is defined as: FY2019 revenue / (average PP&E between FY2018 and FY2019). Round your answer to two decimal places. Base your judgments on the information provided primarily in the statement of income and the statement of financial position.,24.26,The provided context does not contain sufficient information to answer this question.,0.15546765968795365,867.9280281066895,385.76507568359375,/Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/ACTIVISIONBLIZZARD_2019_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/ACTIVISIONBLIZZARD_2019_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/ACTIVISIONBLIZZARD_2019_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/ACTIVISIONBLIZZARD_2019_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/ACTIVISIONBLIZZARD_2019_10K.pdf,,metrics-generated,Activision Blizzard,ACTIVISIONBLIZZARD_2019_10K,10k
9,What is the FY2017 - FY2019 3 year average of capex as a % of revenue for Activision Blizzard? Answer in units of percents and round to one decimal place. Calculate (or extract) the answer from the statement of income and the cash flow statement.,1.9%,The provided context does not contain sufficient information to answer this question.,0.11462657091496546,888.7267112731934,951.8890380859375,/Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/ACTIVISIONBLIZZARD_2019_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/ACTIVISIONBLIZZARD_2019_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/ACTIVISIONBLIZZARD_2019_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/ACTIVISIONBLIZZARD_2019_10K.pdf; /Users/shawheen/Projects/myRAG/data/test_files/finance-bench-pdfs/ACTIVISIONBLIZZARD_2019_10K.pdf,,metrics-generated,Activision Blizzard,ACTIVISIONBLIZZARD_2019_10K,10k
